application_id,applicant_id,applicant_name,applicant_city,application_date,branch_code,application_channel,pan_number,mobile_number,email_address,age_years,monthly_income_inr,employment_type,credit_score,debt_to_income_ratio,existing_loan_count,late_payments_last_12_months,loan_type,loan_amount_inr,tenure_months,defaulted,loss_given_default_inr
LA000017,APP024867,Sandeep Reddy,Rajkot,2023-08-11,BR008,online,LUTXY4781T,5432109876,sagarwal@outlook.com,36,30463.0,self_employed_professional,838,0.1589,0,1,gold,80000,18,0,
LA000018,APP006992,Swathi Shah,Nashik,2023-06-02,BR002,partner_referral,TBLBA1715H,9258904195,aditi88@protonmail.com,26,84525.0,salaried_private,716,0.6436,1,2,home,5659000,360,0,
LA000020,APP020996,Karthik Banerjee,Kolkata,2024-06-01,BR003,branch,LGMWG3040G,8479117360,smehta@outlook.com,39,27394.0,self_employed_business,837,0.3858,0,1,personal,450000,60,0,
LA000021,APP004781,Siddharth Menon,Coimbatore,2023-07-26,BR023,direct_sales_agent,RTZHB8817H,7280944065,naveen99@protonmail.com,40,19015.0,salaried_government,740,0.2616,0,0,vehicle,154000,36,0,
LA000022,APP005413,Gayathri Desai,Bengaluru,2023-03-30,BR011,branch,XAKNB0772R,6241750732,ynaidu@outlook.com,47,187651.0,salaried_government,617,0.8286,1,3,vehicle,1656000,12,0,
LA000023,APP003358,Ritika Desai,Surat,2023-07-30,BR038,branch,JHSQW1848K,9067293086,tarun_gupta9@gmail.com,31,60079.0,salaried_government,456,0.2753,1,11,gold,156000,18,0,
LA000024,APP002994,Harsha Menon,Bengaluru,2024-12-06,BR003,online,DNCWU6450A,8404426051,deepak82@protonmail.com,30,19733.0,salaried_government,770,0.3961,1,0,gold,125000,24,0,
LA000025,APP020611,Sandeep Kapoor,Bhopal,2024-12-05,BR026,branch,ZSWAI8816Z,6800164141,pallavi61@protonmail.com,37,128221.0,self_employed_business,536,0.396,0,7,vehicle,1094000,24,0,
LA000026,APP001123,Shreya Shah,Rajkot,2024-10-20,BR005,direct_sales_agent,ZUZWQ8229N,8209448658,harish_das1@outlook.com,35,32889.0,contract,681,0.2527,0,0,personal,297000,48,0,
LA000027,APP004586,Siddharth Varma,Mysuru,2024-04-12,BR001,partner_referral,XLCCW9828C,9408236655,vinay_shetty4@hotmail.com,38,48317.0,salaried_government,740,0.553,2,0,home,2345000,240,0,
LA000028,APP006680,Neha Malhotra,Jaipur,2023-05-27,BR021,online,GXQRZ7668V,7203493357,gchauhan@protonmail.com,26,28983.0,salaried_private,591,0.4063,0,5,vehicle,254000,24,0,
LA000029,APP000613,Siddharth Krishnan,Kanpur,2024-01-30,BR014,online,REVSR7161X,9066956392,pallavi64@yahoo.co.in,30,92653.0,contract,534,0.4149,1,6,home,2942000,180,0,
LA000030,APP011665,Nandini Menon,Nashik,2024-03-20,BR040,partner_referral,DIVBG9224E,7334865509,charitha54@hotmail.com,34,16673.0,salaried_private,516,0.5026,0,7,personal,342000,60,1,246154.46
LA000031,APP002556,Gayathri Patel,Surat,2025-01-11,BR006,partner_referral,KUNIF4756H,6240279655,priya_kapoor5@rediffmail.com,27,60033.0,salaried_government,785,0.8305,1,0,vehicle,1371000,36,0,
LA000032,APP020835,Swathi Naidu,Ludhiana,2023-09-14,BR012,online,YKPBD9610V,9635222114,varun.shah@outlook.com,38,25894.0,self_employed_business,623,0.393,0,6,personal,293000,36,1,212885.61
LA000033,APP004162,Reyansh Reddy,Mysuru,2023-11-29,BR027,online,KAWZV3124U,9158401617,shreya10@protonmail.com,35,95182.0,salaried_government,847,0.3337,1,1,gold,569000,24,0,
LA000034,APP025830,Aditya Mukherjee,Chennai,2024-07-26,BR008,partner_referral,PTSDR5141F,9705949019,harish_iyer9@rediffmail.com,42,19804.0,self_employed_professional,534,0.6077,1,5,vehicle,489000,60,1,268420.42
LA000035,APP000115,Divya Reddy,Surat,2023-07-13,BR001,branch,RVLTU4116S,6966226690,harish_prasad7@yahoo.co.in,25,55306.0,contract,795,0.6607,2,2,personal,1069000,48,0,
LA000036,APP008945,Bhavana Sharma,Delhi,2024-05-30,BR001,branch,ZFLYM3491A,7010873350,rohit36@hotmail.com,30,190894.0,salaried_private,745,0.3242,1,2,gold,615000,12,0,
LA000037,APP016420,Divya Rao,Coimbatore,2023-05-11,BR011,branch,YRDLR3984D,6014105255,hema45@rediffmail.com,44,54633.0,salaried_private,658,0.545,1,3,personal,252000,12,0,
LA000038,APP002044,Pooja Nair,Visakhapatnam,2024-11-12,BR038,branch,FJNSA3962L,6516021299,dsubramanian@outlook.com,60,34261.0,contract,789,0.4578,1,2,vehicle,494000,48,0,
LA000039,APP016309,Deepika Gowda,Coimbatore,2023-06-18,BR022,branch,YBMRF8904Z,8336417667,abose@protonmail.com,44,22582.0,salaried_private,774,0.5026,1,0,personal,213000,24,1,141694.5
LA000040,APP003254,Vivaan Sharma,Pune,2025-06-24,BR001,online,QMNAP2281D,6840726297,bprasad@gmail.com,31,24818.0,salaried_government,706,0.8774,4,1,home,1500000,180,0,
LA000041,APP016140,Harsha Kapoor,Jaipur,2024-06-04,BR010,branch,WWGWG6541H,6365218459,rdas@outlook.com,43,47761.0,salaried_private,663,0.4321,0,4,gold,339000,18,0,
LA000042,APP008225,Saanvi Verma,Nagpur,2023-06-08,BR029,branch,WYJXI2172R,6659922711,hbose@gmail.com,29,15634.0,salaried_private,900,0.2396,1,0,gold,25000,12,0,
LA000043,APP023335,Saanvi Kulkarni,Chennai,2024-03-19,BR020,partner_referral,YGIPB1045A,6601937880,aarav.ghosh@hotmail.com,30,15067.0,self_employed_professional,677,0.651,3,2,vehicle,388000,84,0,
LA000044,APP011222,Ananya Kapoor,Surat,2023-12-13,BR018,online,PNVNY1848J,6788945583,ramya.deshpande@protonmail.com,33,37716.0,salaried_private,587,0.2382,2,3,gold,64000,18,0,
LA000045,APP001946,Aarav Subramanian,Vadodara,2023-03-24,BR011,branch,HWYVR2525S,6156288547,vikram_ghosh6@outlook.com,51,39103.0,contract,834,0.371,1,0,gold,271000,24,0,
LA000046,APP021050,Aniket Kapoor,Indore,2023-04-26,BR037,partner_referral,WAMSJ7938W,7081693292,,39,50009.0,self_employed_business,816,0.7522,2,1,home,3501000,360,0,
LA000047,APP001394,Ishaan Pillai,Nagpur,2023-06-13,BR017,online,KHXFD0246W,8430849702,yamini_reddy4@outlook.com,38,20140.0,contract,572,0.8647,1,3,home,1500000,180,0,
LA000048,APP000444,Vivaan Krishnan,Madurai,2024-10-07,BR016,branch,PWEJX5591Y,8578828446,vikram48@rediffmail.com,29,44616.0,contract,774,0.5395,0,1,personal,875000,48,0,
LA000049,APP005081,Ishaan Chatterjee,Kochi,2025-05-12,BR015,online,XXICT6470M,8099806910,zoya_chauhan5@yahoo.co.in,43,106363.0,salaried_government,900,0.4283,1,0,gold,208000,6,0,
LA000050,APP026092,Reyansh Patel,Surat,2024-08-24,BR006,direct_sales_agent,JBJGX9248S,8912360272,sridhar_joshi8@yahoo.co.in,44,40068.0,self_employed_professional,777,0.5178,1,0,home,1989000,300,0,
LA000051,APP018372,Aadhya Chatterjee,Visakhapatnam,2024-10-20,BR024,online,ABCDE12345F,9475606236,jbanerjee@rediffmail.com,25,31670.0,self_employed_business,768,0.7429,4,0,vehicle,501000,60,0,
LA000052,APP015676,Diya Pillai,Coimbatore,2024-03-30,BR008,direct_sales_agent,HZAVP3360Z,6505932732,asubramanian@protonmail.com,42,135737.0,salaried_private,745,0.389,0,0,vehicle,2500000,60,0,
LA000053,APP003098,Aarav Banerjee,Indore,2023-04-17,BR007,direct_sales_agent,GJKZQ2149E,6694406048,aagarwal@gmail.com,30,43681.0,salaried_government,739,0.37,0,0,gold,266000,18,0,
LA000054,APP001456,Aarav Nair,Vadodara,2023-01-21,BR022,partner_referral,MNIWZ2405Z,987654321012,jyothi81@hotmail.com,38,79564.0,contract,693,0.4368,0,1,gold,741000,24,0,
LA000055,APP009549,Vivaan Naidu,Delhi,2024-04-23,BR029,online,FMNPJ8238W,6954371571,swathi.das@hotmail.com,31,12000.0,salaried_private,898,0.5174,1,0,gold,105000,24,0,
LA000056,APP000425,Neha Desai,Nagpur,2024-11-02,BR032,online,PMAFW5311B,9755150628,nithya_subramanian8@outlook.com,29,33512.0,contract,808,0.4701,0,0,personal,674000,60,0,
LA000057,APP012403,Gayathri Kulkarni,Tirunelveli,2024-02-04,BR035,branch,GXZFP9947E,6031815772,manoj20@outlook.com,35,23910.0,salaried_private,753,0.3573,1,1,gold,119000,18,0,
LA000058,APP021348,Sandeep Naidu,Rajkot,2025-01-11,BR006,online,QFRZF5282M,6232436801,jayanth_shetty8@yahoo.co.in,41,75807.0,self_employed_business,695,0.6144,1,2,home,4880000,300,0,
LA000059,APP005760,Priya Patel,Mumbai,2023-01-21,BR008,online,abcde1234f,9593346669,swathi12@yahoo.co.in,60,110713.0,salaried_government,813,0.2941,2,0,gold,318000,18,0,
LA000060,APP000409,Neha Chauhan,Visakhapatnam,2024-02-13,BR017,online,EDGLG5988M,6411594508,idas@protonmail.com,29,21562.0,contract,704,0.7572,2,0,home,1500000,300,0,
LA000061,APP005014,Sandeep Banerjee,Kochi,2023-12-09,BR038,partner_referral,NYHKI0825B,9952242105,rohit.prasad@yahoo.co.in,42,32427.0,salaried_government,853,0.4226,1,0,vehicle,431000,48,0,
LA000062,APP010776,Priya Iyer,Jaipur,2023-08-26,BR014,partner_referral,ZSMCM9529P,8396553631,rohit79@protonmail.com,32,60636.0,salaried_private,751,0.4819,1,2,vehicle,1149000,60,0,
LA000063,APP001260,Manoj Pillai,Delhi,2023-07-05,BR013,branch,LQFIS2630J,6576915983,zoya.joshi@rediffmail.com,36,58449.0,contract,570,0.6078,1,7,personal,923000,36,1,764362.77
LA000064,APP006255,Divya Nair,Chennai,2024-08-25,BR008,online,QTYWI9310Y,6050995840,frao@protonmail.com,25,19304.0,salaried_private,761,0.3848,2,1,personal,83000,24,0,
LA000065,APP004978,Reyansh Desai,Tirunelveli,2023-08-11,BR020,direct_sales_agent,DYVNP6652Q,9301873558,sridhar97@protonmail.com,42,112029.0,salaried_government,698,0.3728,0,3,home,5218000,360,0,
LA000066,APP021603,Vikram Varma,Kanpur,2023-09-15,BR030,partner_referral,JYBLT9106I,6627882500,anand_reddy1@hotmail.com,44,41495.0,self_employed_business,762,0.5779,0,0,vehicle,519000,24,0,
LA000067,APP007271,Diya Verma,Vadodara,2024-06-06,BR014,branch,PSJTW2675E,9243063382,chetan.reddy@outlook.com,27,36635.0,salaried_private,698,0.5335,2,2,personal,578000,48,0,
LA000068,APP007068,Deepika Rao,Lucknow,2023-02-13,BR028,partner_referral,MLEJM4121F,8099224836,rahul10@protonmail.com,27,13992.0,salaried_private,704,0.3784,1,0,gold,26000,6,0,
LA000069,APP000187,Praveen Iyer,Nashik,2023-12-11,BR013,partner_referral,RSTBQ7645X,7155935218,meera71@hotmail.com,26,47729.0,contract,575,0.4141,1,5,personal,592000,48,0,
LA000070,APP008432,Aadhya Malhotra,Bhopal,2024-12-24,BR025,branch,TFRTI9170N,9135073089,vaishnavi.bhat@gmail.com,29,33505.0,salaried_private,830,0.95,0,0,vehicle,366000,12,0,
LA000071,APP004595,Deepika Iyer,Mumbai,2023-03-14,BR017,direct_sales_agent,ZINBG2350C,6980782895,hema_malhotra3@rediffmail.com,38,54859.0,salaried_government,583,0.4261,0,4,personal,826000,48,0,
LA000072,APP020698,Swathi Kulkarni,Kanpur,2024-12-29,BR036,online,TECUT4625F,6887550427,agowda@protonmail.com,37,40437.0,self_employed_business,689,0.5306,1,1,home,2340000,360,0,
LA000073,APP016567,Divya Bose,Kolkata,2025-04-15,BR009,partner_referral,VLWEL2187B,9562700410,varun84@gmail.com,45,32521.0,salaried_private,571,0.5104,0,5,personal,682000,60,0,
LA000074,APP020676,Priya Pillai,Kolkata,2023-06-16,BR037,branch,RPHRV0699E,8104329878,@leadingat.com,37,34420.0,self_employed_business,760,0.6919,2,0,home,2217000,240,0,
LA000075,APP011841,Aditya Patel,Kolkata,2023-04-17,BR030,branch,LZIWA0050V,7741490569,schatterjee@yahoo.co.in,34,32034.0,salaried_private,701,0.4141,0,0,vehicle,799000,84,0,
LA000076,APP003788,Aadhya Varma,Mumbai,2024-01-14,BR028,branch,KQTGZ1425E,8855472742,gayatri18@yahoo.co.in,34,16361.0,salaried_government,661,0.417,2,1,gold,66000,24,0,
LA000077,APP005750,Neha Bhat,Ahmedabad,2025-02-06,BR023,branch,TXZWA0819D,6573966257,esha.sharma@yahoo.co.in,59,25705.0,salaried_government,657,0.5583,0,2,home,1734000,300,0,
LA000078,APP012676,Manoj Chatterjee,Pune,2024-01-22,BR026,online,RXVZT0280Q,9106206569,kagarwal@gmail.com,35,51502.0,salaried_private,810,0.499,1,1,personal,855000,48,0,
LA000079,APP016196,Kavya Joshi,Indore,2025-02-17,BR014,branch,LQHUP7302L,7714681133,harish.bose@hotmail.com,43,69259.0,salaried_private,520,0.4776,2,7,home,2150000,300,0,
LA000080,APP021661,Sandeep Prasad,Mumbai,2024-07-25,BR019,branch,ELHFX2335D,7827454291,nnaidu@protonmail.com,45,21192.0,self_employed_business,373,0.7339,3,11,vehicle,572000,84,0,
LA000081,APP021732,Rahul Chatterjee,Bhopal,2024-04-22,BR021,online,FRDGD2924A,7708939917,gnaidu@gmail.com,46,24035.0,self_employed_business,730,0.6935,2,0,vehicle,516000,48,0,
LA000082,APP024188,Deepika Patel,Madurai,2025-06-03,BR003,online,RXHAJ9481I,9595579006,deepak_venkatesan4@rediffmail.com,33,39001.0,self_employed_professional,769,0.3702,0,0,personal,523000,48,0,
LA000083,APP002732,Harsha Malhotra,Surat,2024-07-12,BR008,branch,XLJLE3920I,9443564656,gayatri_subramanian3@gmail.com,28,76940.0,salaried_government,621,0.3554,0,2,personal,778000,36,0,
LA000084,APP002725,Priya Gowda,Delhi,2023-04-16,BR002,branch,AKKXE0466T,8976239067,rohit33@rediffmail.com,28,71203.0,salaried_government,604,0.5729,1,4,personal,1198000,48,1,682841.85
LA000085,APP014397,Meera Malhotra,Bhopal,2023-06-03,BR037,branch,VQMIM7435X,6320663973,spillai@yahoo.co.in,38,72345.0,salaried_private,861,0.4016,0,1,vehicle,1767000,84,0,
LA000086,APP022476,Nikhil Iyer,Delhi,2024-06-06,BR025,branch,NYXFS9955W,9045993647,tarun_venkatesan7@yahoo.co.in,26,123763.0,self_employed_professional,844,0.3693,0,0,home,5274000,240,0,
LA000087,APP007673,Reyansh Varma,Pune,2024-09-22,BR022,direct_sales_agent,WNNIU3850V,6734076199,tarun.verma@outlook.com,28,21842.0,salaried_private,845,0.8111,1,0,vehicle,508000,36,0,
LA000088,APP024089,Sneha Joshi,Rajkot,2023-01-18,BR031,partner_referral,SKNUN9500T,7125515687,karthik_pillai5@hotmail.com,33,15901.0,self_employed_professional,711,0.4871,2,1,gold,78000,18,0,
LA000089,APP011318,Kavya Shah,Ahmedabad,2023-07-09,BR015,branch,JCUSJ3661J,6715833350,spaces in@domain.com,33,47255.0,salaried_private,824,0.6407,0,0,vehicle,944000,36,0,
LA000090,APP020486,Aarav Nair,Bengaluru,2024-10-02,BR030,direct_sales_agent,RUDHF7218T,8594878158,bhargav_nair1@hotmail.com,36,36427.0,self_employed_business,641,0.2621,0,5,gold,288000,36,0,
LA000091,APP018678,Anjali Chatterjee,Lucknow,2023-11-12,BR016,direct_sales_agent,PDAFY9665B,7947047791,jyothi_bhat5@hotmail.com,27,45459.0,self_employed_business,767,0.4696,2,0,vehicle,493000,48,0,
LA000092,APP021151,Praveen Patel,Lucknow,2024-12-14,BR027,partner_referral,SEXQP2087R,7746070057,latha_verma8@gmail.com,40,275137.0,self_employed_business,900,0.3428,1,0,vehicle,2500000,48,0,
LA000093,APP005077,Vinay Mukherjee,Kanpur,2024-08-20,BR016,partner_referral,ENSCX2612L,8668203188,nnair@rediffmail.com,42,95912.0,salaried_government,680,0.31,1,1,vehicle,775000,36,0,
LA000094,APP006320,Aditya Desai,Hyderabad,2024-05-01,BR027,partner_referral,SZTTD1775T,7019591546,gayatri65@gmail.com,25,30419.0,salaried_private,718,0.5444,0,3,gold,187000,12,0,
LA000095,APP010624,Pooja Chauhan,Surat,2023-07-26,BR018,online,CGLRP4704B,6357683779,omkar.bhat@outlook.com,32,40787.0,salaried_private,900,0.7013,3,0,personal,191000,12,0,
LA000096,APP023366,Sneha Sharma,Indore,2024-11-30,BR003,branch,RHWEN2609P,7371405375,zchatterjee@rediffmail.com,30,23367.0,self_employed_professional,710,0.6972,1,1,vehicle,549000,48,0,
LA000097,APP016457,Reyansh Hegde,Surat,2023-04-26,BR033,online,JYAKE3360U,6757120005,priya_patel8@gmail.com,44,72272.0,salaried_private,651,0.3533,1,4,home,2762000,360,0,
LA000098,APP010541,Priya Ramesh,Indore,2023-03-03,BR025,partner_referral,BWNJH1297J,9371257260,hema_patel6@yahoo.co.in,32,32899.0,salaried_private,597,0.4952,2,4,home,1500000,300,0,
LA000099,APP008809,Ananya Kulkarni,Kochi,2023-07-18,BR011,branch,NPBWG1448T,6692710487,rvenkatesan@protonmail.com,29,90099.0,salaried_private,721,0.2884,0,2,personal,752000,36,0,
LA000100,APP006619,Arjun Verma,Mysuru,2025-03-20,BR011,branch,DBEUF7626A,6616050776,hdeshpande@outlook.com,26,21185.0,salaried_private,647,0.6166,2,1,personal,237000,36,0,
LA000101,APP015416,Rahul Malhotra,Nagpur,2023-09-14,BR010,branch,CIERP6356B,6648672556,omkar.malhotra@protonmail.com,41,33243.0,salaried_private,737,0.6502,2,2,home,2005000,360,0,
LA000102,APP011803,Swathi Menon,Ahmedabad,2025-02-07,BR033,partner_referral,ABCD1234E,6910835298,charitha.malhotra@protonmail.com,34,28578.0,salaried_private,648,0.2575,0,3,gold,157000,24,0,
LA000103,APP021528,Aarav Menon,Coimbatore,2023-01-16,BR037,online,VFHJQ0841W,6377213874,manoj_krishnan3@rediffmail.com,43,49076.0,self_employed_business,778,0.5436,1,2,home,2820000,360,0,
LA000104,APP018413,Anjali Reddy,Pune,2023-01-30,BR008,online,AURZF6721Q,8992555549,manoj.prasad@protonmail.com,25,57592.0,self_employed_business,742,0.5831,0,1,personal,1218000,48,0,
LA000105,APP007317,Shreya Iyer,Bengaluru,2023-11-12,BR011,branch,VMPHI3741F,6948750509,nandini98@outlook.com,27,41275.0,salaried_private,879,0.382,0,0,gold,261000,18,0,
LA000106,APP000522,Aadhya Gowda,Mysuru,2023-01-02,BR027,online,CTWFT8587J,8982543604,sanjana_venkatesan2@gmail.com,30,156262.0,contract,611,0.4435,1,2,home,6078000,300,0,
LA000107,APP010162,Nikhil Menon,Madurai,2023-08-05,BR014,branch,TTMAM1994S,6934007594,pallavi.rao@gmail.com,31,74004.0,salaried_private,858,0.651,1,1,gold,235000,6,0,
LA000108,APP001698,Kavya Ramesh,Kanpur,2024-02-23,BR030,branch,AJRUU7414L,8406206736,harish.gupta@outlook.com,42,63639.0,contract,804,0.3217,0,0,personal,876000,60,0,
LA000109,APP019827,Bhavana Subramanian,Surat,2023-06-24,BR039,branch,LTYCX9636U,6849422140,varun_subramanian6@outlook.com,32,82907.0,self_employed_business,308,0.5963,0,11,home,5774000,360,0,
LA000110,APP026576,Bhavana Subramanian,Delhi,2025-05-22,BR025,branch,FEJNJ6599V,6242497397,tarun.prasad@yahoo.co.in,52,77223.0,self_employed_professional,560,0.4392,2,5,personal,830000,48,0,
LA000111,APP026580,Pooja Verma,Ahmedabad,2024-01-17,BR032,branch,AMEJF0948Z,7284063070,ananya.mehta@outlook.com,53,13887.0,self_employed_professional,608,0.4361,1,1,personal,102000,24,0,
LA000112,APP013453,Nikhil Ramesh,Surat,2024-07-27,BR032,branch,NKCFT5356R,9798322442,sanjana40@protonmail.com,37,12000.0,salaried_private,703,0.462,0,3,vehicle,261000,60,0,
LA000113,APP019361,Manoj Ramesh,Kanpur,2024-08-15,BR011,partner_referral,ATMPH9491A,7817878648,charitha.agarwal@yahoo.co.in,30,82518.0,self_employed_business,802,0.2858,0,0,home,2900000,300,0,
LA000114,APP006870,Aadhya Pillai,Indore,2025-06-10,BR026,branch,QDQFN1087I,6788989386,sbanerjee@rediffmail.com,26,54009.0,salaried_private,759,0.5751,0,0,vehicle,675000,24,0,
LA000115,APP003984,Divya Sharma,Jaipur,2023-05-21,BR002,partner_referral,KPXTB3564L,6322896595,snaidu@outlook.com,35,129341.0,salaried_government,765,0.4937,1,0,personal,1500000,36,0,
LA000116,APP007076,Vinay Prasad,Nashik,2023-03-18,BR009,online,WLPID3922L,8457519201,sdeshpande@rediffmail.com,27,14593.0,salaried_private,704,0.5059,0,1,vehicle,348000,60,0,
LA000117,APP002920,Nandini Kulkarni,Visakhapatnam,2024-01-01,BR035,branch,LLJQH6652P,6154647738,araman@yahoo.co.in,29,59918.0,salaried_government,816,0.5204,1,0,vehicle,987000,48,0,
LA000118,APP009778,Swathi Iyer,Indore,2023-04-23,BR034,branch,IEZMT5807U,98765abcde,nithya_ghosh5@yahoo.co.in,31,30407.0,salaried_private,840,0.3536,2,0,gold,201000,36,0,
LA000119,APP022857,Priya Prasad,Delhi,2023-03-24,BR009,online,FFWRF3242T,7717918870,naveen_raman3@outlook.com,28,18557.0,self_employed_professional,695,0.2034,1,1,gold,33000,12,0,
LA000120,APP005478,Lakshmi Gowda,Coimbatore,2024-10-22,BR024,branch,YURTU6471S,7717271471,lakshmi.subramanian@yahoo.co.in,48,17099.0,salaried_government,611,0.3637,2,3,gold,48000,18,0,
LA000121,APP003029,Priya Joshi,Tirunelveli,2023-07-16,BR040,branch,ZKHMH5944C,6109031320,ananya84@rediffmail.com,30,25380.0,salaried_government,863,0.6895,1,0,personal,165000,12,0,
LA000122,APP008810,Sneha Menon,Ahmedabad,2024-07-25,BR004,branch,CYAMT3042D,6468086560,meera53@gmail.com,29,90483.0,salaried_private,756,0.553,0,0,personal,1033000,24,0,
LA000123,APP010411,Bhavana Desai,Pune,2025-02-10,BR032,partner_referral,BKIXP0292M,6835367443,ananya99@rediffmail.com,32,22411.0,salaried_private,711,0.5772,0,4,personal,267000,24,0,
LA000124,APP014348,Aadhya Mukherjee,Kanpur,2025-03-07,BR029,branch,YGYWL3711U,6310844454,jayanth_shetty8@outlook.com,38,55444.0,salaried_private,406,0.3476,0,8,home,2106000,240,0,
LA000125,APP010696,Vikram Desai,Jaipur,2023-12-16,BR028,online,TSAHH6038X,6289528232,lnair@hotmail.com,32,48861.0,salaried_private,733,0.6189,1,1,personal,1005000,48,1,621182.63
LA000126,APP008074,Harsha Subramanian,Madurai,2024-08-14,BR014,branch,WWGLI5476H,9766475119,rajesh.deshpande@outlook.com,28,72477.0,salaried_private,359,0.5656,2,9,gold,632000,24,1,179966.6
LA000127,APP004643,Priya Krishnan,Hyderabad,2023-07-16,BR003,online,CHCXE9380C,9260638309,jyothi_mehta4@hotmail.com,39,12895.0,salaried_government,752,0.7642,3,0,gold,74000,12,0,
LA000128,APP018937,Deepika Rao,Madurai,2024-02-23,BR036,branch,DGQQV7112J,8228800828,jyothi92@protonmail.com,29,106758.0,self_employed_business,594,0.6014,1,1,home,6509000,360,0,
LA000129,APP020613,Vikram Chatterjee,Bengaluru,2025-01-30,BR013,online,TMBBL8544E,9104544016,farhan.prasad@outlook.com,37,136898.0,self_employed_business,519,0.2432,0,2,gold,1000000,36,0,
LA000130,APP001346,Vikram Naidu,Kochi,2024-11-28,BR007,partner_referral,FQECE2635B,9470400321,nandini_deshpande9@gmail.com,37,51157.0,contract,653,0.7983,3,2,home,3194000,360,0,
LA000131,APP015853,Swathi Menon,Nagpur,2023-04-26,BR019,partner_referral,UCSMT1951X,7197467698,lakshmi_banerjee5@protonmail.com,42,49280.0,salaried_private,710,0.5746,3,0,personal,350000,36,0,
LA000132,APP008734,Yash Prasad,Hyderabad,2025-06-06,BR036,online,TIQUL0467Y,7699637836,aditi31@outlook.com,29,69130.0,salaried_private,573,0.7256,0,4,vehicle,1544000,36,1,405108.19
LA000133,APP000685,Shreya Sharma,Chennai,2023-07-30,BR014,branch,EFBHC1269Q,6801866371,kavya42@gmail.com,31,52730.0,contract,666,0.53,1,3,home,2467000,240,0,
LA000134,APP018307,Aniket Patel,Mysuru,2025-02-09,BR024,partner_referral,ZINUH6098M,9722663791,priya26@outlook.com,24,69853.0,self_employed_business,767,0.6006,0,2,personal,871000,24,0,
