application_id,applicant_id,applicant_name,applicant_city,application_date,branch_code,application_channel,pan_number,mobile_number,email_address,age_years,monthly_income_inr,employment_type,credit_score,debt_to_income_ratio,existing_loan_count,late_payments_last_12_months,loan_type,loan_amount_inr,tenure_months,defaulted,loss_given_default_inr,rejection_reason
LA000438,APP021580,Gayathri Iyer,Lucknow,,BR003,branch,ZVMNH1532N,9141084122,sridhar_raman8@gmail.com,44.0,22326.0,self_employed_business,752,0.4352,3.0,1,personal,92000,24.0,0,,unparseable_application_date
LA000439,APP000651,Nikhil Banerjee,Bhopal,2025-05-14,BR024,online,VAZWA2264Q,7470375084,suresh_iyer7@rediffmail.com,31.0,30844.0,contract,1200,0.4182,0.0,4,gold,211000,18.0,0,,credit_score_out_of_range
LA000440,APP026838,Reyansh Bose,Delhi,2024-06-04,BR029,partner_referral,TTMZF3516I,6967255585,ganesh_prasad4@hotmail.com,29.0,124315.0,,708,0.6961,2.0,2,vehicle,2500000,48.0,0,,missing_required_field
LA000470,APP023138,Reyansh Malhotra,Ludhiana,2024-10-23,BR039,partner_referral,CDLJD2983C,8897758037,yamini_patel8@rediffmail.com,29.0,28436.0,Self_Employed_Professional,900,0.5599,,0,home,1864000,360.0,0,,missing_required_field
LA000479,APP012293,Reyansh Ramesh,Jaipur,,BR011,branch,XWRTK7302G,8023895373,lakshmi_deshpande6@rediffmail.com,35.0,14687.0,salaried_private,680,0.9268,0.0,1,home,1500000,240.0,0,,unparseable_application_date
LA000487,APP026919,Kavya Shah,Madurai,2024-09-13,BR038,direct_sales_agent,YZTCR6246Q,8649062994,chetan_shah8@hotmail.com,38.0,38447.0,,715,0.2454,0.0,0,vehicle,373000,48.0,0,,missing_required_field
LA000489,APP005865,Reyansh Shah,Kanpur,,BR021,branch,CTITZ6563N,9675508514,nbose@gmail.com,23.0,13000.0,salaried_private,682,0.591,2.0,3,gold,55000,12.0,0,,unparseable_application_date
LA000509,APP000598,Praveen Gowda,Lucknow,2024-06-17,BR034,online,EVEBP0982X,8206670144,svenkatesan@hotmail.com,30.0,66576.0,contract,714,0.384,1.0,1,gold,541000,,0,,missing_required_field
LA000517,APP019268,Neha Subramanian,Indore,,BR026,direct_sales_agent,TEQAM2159S,8869706106,divya.reddy@hotmail.com,30.0,38022.0,self_employed_business,600,0.2122,0.0,1,gold,172000,24.0,0,,unparseable_application_date
LA000565,APP000336,Gayathri Menon,Ahmedabad,2024-08-06,BR038,partner_referral,TAKIW2484B,9804512714,vikram_chatterjee1@gmail.com,28.0,29094.0,contract,628,0.448,,4,personal,236000,24.0,0,,missing_required_field
LA000571,APP011568,Vikram Bhat,Bengaluru,2023-12-15,BR033,branch,KTVAR6744X,9654395530,mahesh_patel7@protonmail.com,34.0,-1.0,salaried_private,601,0.2286,1.0,6,personal,91000,36.0,0,,income_not_positive
LA000591,APP000217,Aadhya Menon,Bengaluru,2023-12-09,BR031,partner_referral,EZYWE5072V,9037734882,lkulkarni@rediffmail.com,27.0,-25000.0,contract,808,0.4046,0.0,1,home,2043000,300.0,0,,income_not_positive
LA000602,APP010259,Swathi Menon,Jaipur,2024-04-15,BR040,branch,ZAWMJ8785P,6399734720,aditi.deshpande@gmail.com,32.0,0.0,salaried_private,571,0.5183,0.0,5,personal,1473000,48.0,0,,income_not_positive
LA000612,APP026824,Manoj Bhat,Pune,2024-10-23,BR039,branch,JGVWB9187T,8712192554,aarav_mehta4@rediffmail.com,26.0,31494.0,,900,0.5147,0.0,0,home,2056000,300.0,0,,missing_required_field
LA000619,APP026802,Reyansh Banerjee,Pune,2024-11-10,BR040,direct_sales_agent,MMDTS4178X,8376600531,deepak_joshi4@protonmail.com,,58894.0,self_employed_professional,762,0.3441,0.0,2,home,2443000,300.0,0,,missing_required_field
LA000621,APP022193,Ananya Subramanian,Kanpur,2024-08-24,BR024,branch,FYSDR7881M,6800963738,charitha_gupta6@protonmail.com,,28405.0,self_employed_business,699,0.3902,0.0,0,gold,125000,12.0,0,,missing_required_field
LA000648,APP022113,Rahul Kulkarni,Visakhapatnam,2024-11-09,BR009,partner_referral,YQXAV1310V,9411497301,swathi13@hotmail.com,58.0,0.0,self_employed_business,734,0.188,1.0,2,gold,25000,18.0,0,,income_not_positive
LA000675,APP023931,Bhavana Rao,Tirunelveli,2024-03-09,BR027,online,QNJDY3639C,7961312732,nhegde@gmail.com,32.0,37941.0,self_employed_professional,0,0.5929,1.0,0,vehicle,653000,36.0,1,363348.02,credit_score_out_of_range
LA000676,APP021908,Deepika Krishnan,Rajkot,2024-13-05,BR033,branch,IYTUA4464S,9645092884,latha79@hotmail.com,49.0,67089.0,self_employed_business,823,0.5754,1.0,1,home,4170000,300.0,0,,unparseable_application_date
LA000687,APP002076,Kavya Krishnan,Nashik,2024-12-08,BR021,partner_referral,UYHSA1040Y,7144185454,priya_bhatia2@protonmail.com,22.0,41712.0,salaried_government,120,0.5793,1.0,0,personal,599000,36.0,1,467487.44,credit_score_out_of_range
LA000733,APP026773,Priya Varma,Nashik,2025-02-09,BR012,online,PMFHA6401Z,8230618635,nmenon@outlook.com,,112388.0,self_employed_professional,571,0.6984,2.0,2,home,5607000,240.0,0,,missing_required_field
LA000485,APP017676,Kavya Banerjee,Delhi,2023-06-23,BR013,online,GGCCE0541F,987654321012,aditi_bhat7@yahoo.co.in,53.0,75579.0,salaried_private ,792,0.4477,1.0,1,vehicle,1225000,48.0,0,,duplicate_application_id
LA000755,APP013518,Bhavana Sinha,Tirunelveli,2025-02-08,BR007,partner_referral,BLMGI3856S,9891314602,nverma@yahoo.co.in,37.0,170672.0,salaried_private,695,0.6316,4.0,1,personal,1500000,,0,,missing_required_field
LA000800,APP023069,Neha Bose,Surat,2025-02-14,BR008,online,YZFFI9395A,7329938580,manoj_sharma2@outlook.com,29.0,133915.0,self_employed_professional,-15,0.2602,0.0,1,personal,1019000,36.0,0,,credit_score_out_of_range
LA000805,APP017743,Deepika Shah,Nashik,not_a_date,BR027,online,AMGXW8930V,8669845746,nbhatia@hotmail.com,55.0,103492.0,salaried_private,626,0.3837,1.0,2,vehicle,969000,36.0,0,,unparseable_application_date
LA000817,APP012218,Siddharth Kulkarni,Ludhiana,2024-01-11,BR025,online,DPUPU3402W,6597449231,ramya_joshi3@rediffmail.com,35.0,-25000.0,Salaried_Private,476,0.2591,0.0,9,gold,385000,24.0,0,,income_not_positive
LA000853,APP011376,Nandini Menon, Nagpur,2024-03-27,BR019,direct_sales_agent,MQXQS6918C,8312466401,deepak_prasad2@gmail.com,33.0,53401.0, salaried_private,568,0.5567,,6,personal,849000,36.0,0,,missing_required_field
LA000855,APP026780,Krishna Hegde,Ludhiana,2023-08-03,BR027,online,IZSDQ3935V,9672147006,omkar_naidu1@yahoo.co.in,,18436.0,self_employed_professional,764,0.4091,2.0,0,vehicle,220000,60.0,0,,missing_required_field
LA000858,APP017925,Ananya Prasad,Ludhiana,2023-03-18,BR029,branch,ZEWGD9656D,8907026034,tarun.hegde@protonmail.com,60.0,-25000.0,salaried_private,601,0.7407,1.0,5,personal,1051000,24.0,0,,income_not_positive
LA000864,APP024056,Lakshmi Subramanian,Pune,2025-02-23,BR008,branch,KLVZD5359E,8428211588,varun37@gmail.com,33.0,-25000.0,self_employed_professional,798,0.2298,0.0,0,gold,361000,36.0,0,,income_not_positive
LA000899,APP020788,Anjali Nair,Bengaluru,2023-11-06,BR019,branch,RPWWP5637B,9314811670,suresh_das7@rediffmail.com,38.0,-1.0,self_employed_business,661,0.4178,2.0,2,gold,193000,36.0,0,,income_not_positive
LA000902,APP000936,Bhavana Iyer,Nashik,2023-12-08,BR012,partner_referral,NYYXA9328F,9104610218,rohit32@gmail.com,34.0,0.0,contract,620,0.2707,0.0,1,gold,209000,36.0,0,,income_not_positive
LA000906,APP021470,Rohan Kapoor,Ludhiana,2023-11-20,BR024,direct_sales_agent,KANEF3716C,7847558686,deepak_bose4@rediffmail.com,43.0,-25000.0,self_employed_business,657,0.8548,4.0,2,home,2352000,300.0,0,,income_not_positive
LA000941,APP013318,Aniket Naidu,Madurai,2024-03-07,BR018,online,ZCLZW9262S,7559595587,rahul_rao7@rediffmail.com,36.0,64137.0, SALARIED_PRIVATE ,438,0.4829,,12,vehicle,665000,24.0,1,277410.42,missing_required_field
LA000970,APP013287,Reyansh Nair,Pune,2024-05-07,BR032,branch,GEFFA6213V,6540414469,aarav15@hotmail.com,36.0,57739.0,salaried_private,513,0.6264,,5,home,4043000,360.0,0,,missing_required_field
LA000989,APP001255,Neha Iyer,Pune,31/02/2024,BR020,branch,ERYPE8178X,9802432100,jyothi_venkatesan8@yahoo.co.in,36.0,52805.0,contract,718,0.326,0.0,3,home,1919000,240.0,0,,unparseable_application_date
LA000995,APP022547,Vinay Subramanian, Madurai,2024-12-28,BR003,branch,WVNHJ6886K,8417545598,snaidu@outlook.com,26.0,36942.0,self_employed_professional,697,0.3494,1.0,1,gold,243000,,0,,missing_required_field
LA000996,APP024538,Ananya Rao,Madurai,2023-09-17,BR027,branch,LDISU3336L,6541958203,farhan.bose@protonmail.com,35.0,0.0,self_employed_professional,724,0.7999,1.0,1,personal,779000,24.0,0,,income_not_positive
LA001005,APP010922,Neha Chatterjee,Ahmedabad,2023-10-12,BR033,branch,DVHYI0813H,6995794973,dinesh43@hotmail.com,33.0,0.0, SALARIED_PRIVATE ,724,0.3481,1.0,1,gold,84000,12.0,0,,income_not_positive
LA001007,APP005995,Vinay Varma,Kolkata,2024-09-26,BR004,branch,KVQKL4310J,7805340775,manoj.patel@protonmail.com,24.0,120964.0,salaried_private,680,0.5434,1.0,3,home,6915000,,0,,missing_required_field
LA001016,APP001725,Karthik Malhotra,Kochi,2023-08-14,BR037,partner_referral,WALRR8511E,7457704641,lrathore@hotmail.com,43.0,41650.0,contract,617,0.5795,,5,vehicle,653000,36.0,0,,missing_required_field
LA001033,APP022622,Harsha Desai,Jaipur,2025-05-24,BR035,branch,AYXUH7625K,9258421817,hmalhotra@yahoo.co.in,27.0,-25000.0,self_employed_professional,641,0.255,0.0,3,gold,161000,24.0,0,,income_not_positive
LA001116,APP026368,Siddharth Sinha,Ludhiana ,2023-07-20,BR022,online,GEHCP7995Z,9432424381,vbose@gmail.com,48.0,-25000.0,self_employed_professional ,772,0.2154,0.0,1,vehicle,1272000,84.0,0,,income_not_positive
LA001139,APP021815,Lakshmi Bhat,Visakhapatnam,,BR001,direct_sales_agent,AVAKU8777E,9827868805,yamini_mehta4@outlook.com,47.0,46886.0,self_employed_business,586,0.3729,1.0,3,gold,433000,36.0,0,,unparseable_application_date
LA001140,APP023301,Priya Subramanian,Bengaluru,2024-06-02,BR026,partner_referral,UKFMV3398L,7255012391,vpillai@hotmail.com,30.0,0.0,self_employed_professional,598,0.4175,1.0,1,vehicle,1025000,84.0,0,,income_not_positive
LA001169,APP009462,Arjun Malhotra, Madurai,2023-03-13,BR020,branch,FCXIA3166H,8027333883,ananya_gowda1@outlook.com,30.0,79976.0,salaried_private,525,0.6068,2.0,5,personal,739000,,1,621848.39,missing_required_field
LA001178,APP025669,Rohan Sharma,Pune,2025-03-12,BR019,online,CTRNH0065M,6649550982,suresh_patel9@yahoo.co.in,41.0,0.0,self_employed_professional,812,0.4757,1.0,0,gold,471000,24.0,0,,income_not_positive
LA001206,APP008497,Aarav Hegde,Indore,2023-04-03,BR013,online,SEQSN3512Q,8027505874,imran79@protonmail.com,29.0,38482.0,salaried_private,706,0.2979,,0,vehicle,297000,36.0,0,,missing_required_field
LA001241,APP013729,Swathi Kulkarni,Delhi,2024-05-10,BR039,online,XUNMX8081W,8090046139,sunita.nair@protonmail.com,37.0,38216.0,salaried_private,985,0.4308,0.0,4,home,2004000,300.0,0,,credit_score_out_of_range
LA001260,APP003718,Vivaan Hegde,Delhi,2023-06-24,BR003,branch,TACCN4632M,8497880855,charitha38@yahoo.co.in,33.0,62016.0,salaried_government,688,0.4153,0.0,3,personal,742000,,0,,missing_required_field
LA001284,APP003181,Gayathri Banerjee,Hyderabad,2024-12-24,BR025,partner_referral,EHMJK3557K,6170588125,zoya24@hotmail.com,31.0,-25000.0,salaried_government,505,0.4791,3.0,7,personal,1500000,48.0,0,,income_not_positive
LA001387,APP026799,Manoj Varma,Tirunelveli,2023-12-01,BR016,partner_referral,PXJTR4572F,9969787652,karthik.chauhan@gmail.com,,54017.0,self_employed_professional,862,0.3966,3.0,0,gold,93000,12.0,0,,missing_required_field
LA001429,APP003636,Manoj Sharma,Coimbatore,2023-12-12,BR030,branch,YWWKR1558K,7187241627,pallavi.sharma@hotmail.com,33.0,29990.0,SALARIED_GOVERNMENT,0,0.3581,0.0,4,gold,176000,18.0,0,,credit_score_out_of_range
LA000217,APP004874,Arjun Shah, Ahmedabad,2023-06-06,BR003,partner_referral,QJQPK2064P,7108206767,priya_patel5@outlook.com,40.0,90490.0,salaried_government,729,0.3714,0.0,2,vehicle,1577000,60.0,0,,duplicate_application_id
LA001508,APP012329,Anjali Ramesh,Coimbatore,2024-07-17,BR003,branch,SUBUQ6067V,6286494607,shreya95@protonmail.com,35.0,17719.0,salaried_private,900,0.7202,1.0,0,home,1500000,,1,169696.96,missing_required_field
LA001556,APP008966,Rohan Naidu,Tirunelveli,2023-05-17,BR029,direct_sales_agent,PYQCW5422K,6288038626,bhavana.banerjee@outlook.com,30.0,20506.0,salaried_private,739,0.3712,0.0,1,gold,163000,,0,,missing_required_field
LA001557,APP026793,Arjun Gowda,Jaipur,2023-04-19,BR027,online,GCMRR5612Y,6485068804,nandini49@hotmail.com,,39116.0,self_employed_professional,714,0.5334,1.0,2,home,2329000,360.0,0,,missing_required_field
LA001604,APP017975,Vinay Gowda,Delhi,,BR039,partner_referral,KYLSM0456G,6472796079,divya_kapoor6@gmail.com,60.0,27757.0,salaried_private,846,0.4267,0.0,0,vehicle,258000,24.0,0,,unparseable_application_date
LA001622,APP026881,Yash Bhat,Kochi,2023-04-02,BR012,branch,EHLZJ4133U,8018524877,varun.shetty@hotmail.com,33.0,43616.0,,436,0.4792,0.0,9,home,2516000,360.0,0,,missing_required_field
LA000413,APP025385,Ishaan Varma,Hyderabad,2024-11-10,BR001,online,LKXBW0173B,8565127172,sandeep.venkatesan@protonmail.com,39.0,19077.0,self_employed_professional,761,0.7941,1.0,2,vehicle,314000,24.0,0,,duplicate_application_id
LA001648,APP018171,Kavya Pillai,Hyderabad,31/02/2024,BR004,branch,ZUMQT6219S,8563474414,zoya_agarwal8@gmail.com,21.0,46766.0,self_employed_business ,755,0.4959,0.0,1,personal,481000,24.0,0,,unparseable_application_date
LA001664,APP006544,Priya Chauhan,Pune,2023-10-19,BR007,branch,PIKXK6118P,9244167789,deepak.rao@yahoo.co.in,26.0,111429.0,salaried_private,701,0.3978,,2,home,4948000,240.0,0,,missing_required_field
LA001671,APP020251,Divya Prasad,Kolkata,2024-13-05,BR001,partner_referral,GRIEK1274D,7878157843,esha59@protonmail.com,35.0,21204.0,self_employed_business,878,0.4713,1.0,0,personal,189000,24.0,0,,unparseable_application_date
LA001687,APP016332,Reyansh Bose,Bengaluru,2024-13-05,BR001,partner_referral,YFJKD7223T,7208398674,vinay_agarwal7@gmail.com,44.0,29285.0,salaried_private,886,0.6776,1.0,0,home,1500000,120.0,1,45000.0,unparseable_application_date
LA001689,APP020155,Harsha Chatterjee,Rajkot,31/02/2024,BR005,online,VJNZS2061G,7862109907,chetan_kapoor8@yahoo.co.in,34.0,49098.0,self_employed_business,752,0.3307,0.0,1,gold,268000,18.0,0,,unparseable_application_date
LA001695,APP021106,Yash Desai,Jaipur,2025-02-21,BR016,online,USHQG5815R,8526157732,chetan_chatterjee9@yahoo.co.in,40.0,-25000.0,self_employed_business ,601,0.2414,1.0,4,gold,53000,12.0,0,,income_not_positive
LA001704,APP004485,Swathi Desai,Hyderabad,,BR002,branch,YBFKN2764N,8751952232,charitha46@hotmail.com,37.0,80960.0,salaried_government,741,0.1894,0.0,1,gold,466000,36.0,0,,unparseable_application_date
LA001705,APP008492,Nikhil Ramesh,Mumbai,2024-05-14,BR007,branch,WYPBW9469R,6576777994,ipillai@rediffmail.com,29.0,38246.0,Salaried_Private,863,0.6334,,1,home,1724000,180.0,0,,missing_required_field
LA001707,APP013674,Praveen Malhotra,Jaipur,not_a_date,BR026,branch,XQGDB1546S,9406655287,harish.pillai@rediffmail.com,37.0,32791.0,salaried_private,670,0.185,0.0,1,personal,125000,24.0,0,,unparseable_application_date
LA000374,APP014107,Aadhya Gowda,Indore,2025-03-08,BR006,partner_referral,HTMYD8532A,8673670594,uma.iyer@outlook.com,38.0,20785.0, salaried_private,796,0.6376,0.0,0,personal,386000,36.0,0,,duplicate_application_id
LA001736,APP024132,Harsha Joshi,Indore,2023-03-15,BR028,branch,EFCLX6621Q,9430226835,schauhan@outlook.com,33.0,25029.0, self_employed_professional,4300,0.6393,3.0,0,personal,278000,36.0,0,,credit_score_out_of_range
LA001758,APP010715,Arjun Joshi,Surat,2025-05-24,BR019,partner_referral,RIBGJ3482K,9198622954,pmenon@protonmail.com,32.0,52226.0,salaried_private,748,0.4539,0.0,0,personal,858000,,0,,missing_required_field
LA001794,APP000529,Anjali Bhat,Bengaluru,2024-10-05,BR011,partner_referral,PZHHJ7571M,9572815698,zoya30@rediffmail.com,30.0,20247.0,contract,250,0.5203,0.0,1,personal,220000,24.0,0,,credit_score_out_of_range
LA001798,APP016443,Ishaan Reddy,Kanpur,2023-03-23,BR005,branch,QQHZT8488U,7098801143,vkulkarni@gmail.com,44.0,63401.0,salaried_private,669,0.3179,,2,personal,580000,36.0,0,,missing_required_field
LA001823,APP010260,Meera Menon,Kolkata,2023-01-28,BR031,online,MMTDN9326G,9707101200,nchatterjee@outlook.com,32.0,0.0,salaried_private,894,0.37,1.0,0,gold,500000,36.0,0,,income_not_positive
LA001835,APP012209,Rohan Joshi,Bengaluru,2025-03-01,BR032,branch,HIFBL2754L,8125670573,rajesh21@gmail.com,35.0,-1.0,salaried_private,740,0.2902,0.0,1,gold,1000000,18.0,0,,income_not_positive
LA001884,APP022617,Bhavana Bose,Nashik,2024-13-05,BR002,partner_referral,NZCYH9776P,9053842118,uma_kapoor3@hotmail.com,26.0,92496.0,self_employed_professional,818,0.579,1.0,0,gold,268000,6.0,0,,unparseable_application_date
LA001885,APP002067,Kavya Subramanian,Kochi ,2023-01-15,BR032,branch,NBDIT0898D,6097603833,aditi_gupta6@gmail.com,,90791.0,contract,821,0.5206,2.0,0,home,3383000,300.0,0,,missing_required_field
LA001912,APP021707,Gayathri Bhat,Delhi,2024-13-05,BR018,branch,AJBLF9729N,8367861272,swathi23@outlook.com,45.0,74223.0,self_employed_business,624,0.5612,1.0,2,gold,202000,6.0,0,,unparseable_application_date
LA000062,APP018675,Aadhya Pillai,Tirunelveli,2024-05-14,BR031,branch,KQDNI8644Z,6151827988,zoya80@hotmail.com,27.0,43754.0,self_employed_business,498,0.4203,,6,home,1764000,180.0,0,,duplicate_application_id
LA001922,APP024882,Shreya Sinha,Nagpur,2024-01-07,BR012,branch,IIWPZ2454G,7224134938,shreya_mehta6@rediffmail.com,36.0,34421.0,self_employed_professional,733,0.6323,3.0,1,vehicle,949000,,0,,missing_required_field
LA001928,APP005525,Sneha Bhat,Bhopal,not_a_date,BR028,partner_referral,UGIZH3609R,9303760730,praveen_banerjee3@protonmail.com,49.0,29716.0,salaried_government,699,0.465,2.0,3,personal,395000,48.0,0,,unparseable_application_date
LA001970,APP017264,Vikram Varma,Kochi,2024-13-05,BR026,branch,ILTHL7640Q,6486321841,farhan.mukherjee@gmail.com,49.0,38339.0,salaried_private,467,0.752,3.0,8,gold,315000,18.0,0,,unparseable_application_date
LA001979,APP001265,Divya Reddy,Mysuru,2024-03-01,BR011,branch,WZHHL9694V,6673785456,priya.bhat@gmail.com,36.0,65651.0,contract,797,0.5599,,1,home,3028000,240.0,0,,missing_required_field
LA002019,APP017083,Kavya Reddy,Bhopal,2024-05-30,BR024,branch,WUYRI1269I,6870304401,sandeep75@hotmail.com,48.0,166188.0,salaried_private ,639,0.4899,,0,home,6648000,240.0,0,,missing_required_field
LA002038,APP026937,Aadhya Reddy,Coimbatore ,2023-09-28,BR035,branch,GGFDK9833H,6536992787,kiran_mukherjee5@yahoo.co.in,41.0,55870.0,,614,0.4579,1.0,2,home,2607000,300.0,0,,missing_required_field
LA002045,APP024794,Swathi Menon,Nagpur,2023-03-07,BR006,online,ALVQE1030F,6285224691,gayatri.krishnan@protonmail.com,36.0,-1.0,self_employed_professional,723,0.6463,2.0,1,gold,111000,12.0,0,,income_not_positive
LA002066,APP004929,Reyansh Rao,Visakhapatnam ,2025-03-31,BR032,branch,AUYQZ3362L,8727768945,gayatri.shah@hotmail.com,41.0,44150.0,salaried_government,591,0.3771,1.0,2,personal,265000,,0,,missing_required_field
LA002073,APP026920,Aadhya Shah,Mysuru,2025-02-01,BR007,online,PZIYV5709M,6577796508,kmenon@outlook.com,38.0,45532.0,,734,0.5316,0.0,1,vehicle,960000,48.0,0,,missing_required_field
LA002077,APP012219,Meera Ramesh,Bengaluru,2025-01-13,BR031,partner_referral,GCLCN8274P,8054855304,sandeep.iyer@gmail.com,35.0,-25000.0,salaried_private,619,0.3789,1.0,3,gold,504000,36.0,0,,income_not_positive
LA002143,APP007513,Rohan Reddy,Coimbatore,2023-08-22,BR033,online,MUXAS2222X,9993593399,nandini.verma@yahoo.co.in,27.0,83591.0,salaried_private,631,0.7037,,4,personal,596000,12.0,0,,missing_required_field
LA002164,APP018141,Aarav Banerjee,Chennai,2024-03-27,BR004,branch,MSCQJ4162K,7648018276,cverma@gmail.com,,44799.0,salaried_private,706,0.4035,1.0,1,home,1856000,300.0,0,,missing_required_field
LA002169,APP018929,Vikram Chatterjee,Bengaluru,2024-01-07,BR026,branch,CTZQQ6995Y,9356278451,praveen_reddy4@hotmail.com,29.0,-25000.0,self_employed_business,729,0.4898,0.0,0,home,2808000,360.0,0,,income_not_positive
LA002180,APP003182,Neha Bhat,Pune,2023-11-30,BR029,branch,BENLQ9984E,9557280342,farhan76@yahoo.co.in,31.0,-25000.0,salaried_government,630,0.2561,0.0,2,personal,1500000,48.0,0,,income_not_positive
LA002182,APP016514,Ananya Patel,Rajkot,2024-10-07,BR022,partner_referral,LHCYY9618P,9225962902,rmehta@outlook.com,45.0,20327.0,salaried_private,985,0.4895,1.0,1,personal,294000,48.0,0,,credit_score_out_of_range
LA002198,APP023272,Gayathri Nair,Nagpur,not_a_date,BR009,online,XIIGK2932S,8884425194,pallavi95@hotmail.com,29.0,77925.0,self_employed_professional,711,0.534,0.0,2,personal,1500000,48.0,0,,unparseable_application_date
